num,enonce,reponseA,reponseB,reponseC,reponseD,bonne_reponse,domaine,chapitre,image
1,"Une et une seule de es affirmations est fausse. Laquelle ?","Un système d'exploitation libre est la plupart du temps gratuit","Je peux contribuer à un système d'exploitation libre","Il est interdit d'étudier un système d'exploitation propriétaire","Un système d'exploitation propriétaire est plus sécurisé","D","Architectures matérielles et systèmes d'exploitation",1,None
2,"Quelle est l'effet de la commande `cd ..` ?","Changer le répertoire courant vers le répertoire supérieur","Ejecter le CD","Copier le contenu du répertoire courant dans un répertoire caché","Supprimer le répertoire courant","A","Architectures matérielles et systèmes d'exploitation",1,None
3,"Quel est le rôle de la commande `ls` ?","Basculer en mode administrateur","Lister le contenu du répertoire courant","Effacer le contenu du répertoire courant","Donner un accès complet à un fichier","B","Architectures matérielles et systèmes d'exploitation",1,None
4,"Dans un terminal sous Linux, quelle commande faut-il écrire pour donner à tout le monde le droit d'écriture sur le fichier `information.py` ?",`chmod o+w information.py`,`chmod a+w information.py`,`chmod o+x information.py`,`chmod a+x information.py`,B,Architectures matérielles et systèmes d'exploitation,1,None
5,Quel est l'effet de la commande `chmod u+w fichier.txt` ?,de permettre au propriétaire du fichier de modifier le contenu de ce fichier,d'interdire au propriétaire de modifier le contenu de ce fichier,d'interdire à tous les autres utilisateurs de lire le fichier,d'effacer le fichier,A,Architectures matérielles et systèmes d'exploitation,1,None
6,"Dans la console Linux, quelle commande faut-il exécuter pour obtenir la documentation sur commande `pwd` ?",`man pwd`,`cd pwd`,`mkdir pwd`,`ls pwd`,A,Architectures matérielles et systèmes d'exploitation,1,None
7,Lequel de ces systèmes d'exploitation est sous licence propriétaire ?,Android,Linux,Windows,Ubuntu,C,Architectures matérielles et systèmes d'exploitation,1,None
8,"Une application doit écrire sur le disque dur de l'ordinateur, laquelle des affirmations suivantes est vraie ?",Elle peut le faire quand bon lui semble,Elle doit en faire la demande au système d'exploitation,Elle doit en faire la demande aux autres applications qui fonctionnent sur l'ordinateur,Elle doit en faire la demande à l'utilisateur de l'ordinateur,B,Architectures matérielles et systèmes d'exploitation,1,None
9,Quelle est l'écriture en base 2 du nombre $(154)_{10}$ ?,10011100,10011001,00011010,10011010,D,Types et valeurs de base,2,None
10,Que peut-on dire de l'écriture en base 2 d'un nombre divisible par 2 ?,Elle ne contient pas de 0,Elle se termine par 0,Elle ne contient qu'un seul 1,Elle contient deux 1,B,Types et valeurs de base,2,
11,Quelle est l'écriture en base 10 du nombre $(01101100)_{2}$ ?,216,108,54,4,B,Types et valeurs de base,2,
12,Quelle est l'écriture en base 16 du nombre $(165)_{10}$ ?,95,A5,B5,C5,B,Types et valeurs de base,2,
13,"En base 12, combien il y a-t-il de chiffres ?",10,11,12,13,C,Types et valeurs de base,2,
14,"Si l'écriture en base 2 d'un nombre ne comporte qu'un seul 1, alors ce nombre :",n'est pas une puissance 2,est une puissance de 2,est divisible par 2,n'est pas divisible par 2,B,Types et valeurs de base,2,
15,Quelle est l'écriture en base 10 du nombre $(B2)_{16}$ ?,112,162,178,194,C,Types et valeurs de base,2,
16,"Pour écrire les nombres entre 1 et 100 en base 2, on a besoin au maximum de :",5 chiffres,6 chiffres,7 chiffres,8 chiffres,C,Types et valeurs de base,2,
17,Quelle est l'affirmation exacte ?,Le codage UTF-8 est sur 7 bits.,Le codage UTF-8 est sur 1 octet.,Le codage UTF-8 est sur 1 à 4 octets.,Le codage UTF-8 est sur 4 octets.,C,Types et valeurs de base,2,
